644	644	1052	105	105	1133	105	1133	1133
374	374	1125	42	16	1131	16	1131	1131
779	779	1103	16	42	1125	196	1125	1125
253	253	1056	333	196	1132	42	1132	1052
261	261	1091	196	333	1103	333	1052	1132
294	294	1118	23	23	1052	3	1103	1103
955	955	897	3	3	1121	23	1129	1129
956	956	1099	41	41	1129	204	1121	1121
959	959	1119	204	204	1104	49	1104	1104
791	791	1064	49	49	1123	56	1123	1123
679	679	1130	332	56	1130	116	1128	1128
1071	1071	1121	21	21	1128	41	1130	1130
175	175	1120	56	116	1118	21	1118	1118
722	722	1122	116	332	758	128	758	1119
488	488	758	128	128	759	332	759	758
493	493	759	76	39	1119	206	1119	759
494	494	1072	354	354	1064	210	1099	1099
463	463	1104	46	54	1099	274	635	635
111	111	1131	52	76	635	201	1091	1091
685	685	1132	54	206	1091	39	1064	1064
424	424	1133	233	46	897	390	1127	1127
1012	1012	862	39	210	1072	205	897	897
1033	1033	1093	206	52	918	354	1072	1072
800	800	1115	378	274	1127	54	1056	1056
526	526	1085	210	201	1122	76	918	1122
913	913	1106	274	390	1056	46	1122	1126
763	763	1128	205	233	948	52	1126	948
964	964	635	201	205	949	40	948	949
966	966	1129	390	50	1126	214	949	918
1021	1021	805	50	378	1048	233	1048	1079
970	970	1028	299	40	1085	50	1079	1048
971	971	918	140	1	1120	378	1101	1101
830	830	867	40	299	1108	1	1108	1108
740	740	1126	134	140	1096	198	1120	1120
863	863	948	24	214	1115	194	1085	1085
583	583	949	135	135	1079	446	1096	1096
318	318	1127	1	24	1106	439	1115	1115
1040	1040	1123	396	45	1081	299	1081	1081
1042	1042	947	45	396	1082	140	1082	1082
1055	1055	1076	137	134	1083	45	1083	1083
35	35	832	214	198	1101	24	1065	1107
36	36	1108	434	194	1065	135	828	1065
37	37	997	355	439	805	396	1107	828
917	917	828	198	434	828	134	1106	1106
873	873	901	241	446	1028	218	805	805
876	876	1057	504	137	1018	434	1018	1018
1077	1077	1092	389	355	1107	327	1028	1028
550	550	1124	194	241	906	335	906	1049
1059	1059	1086	439	389	862	137	1049	906
1006	1006	1096	446	504	751	212	1102	1102
916	916	1048	143	218	1124	355	502	502
909	909	845	185	335	832	215	1092	1092
670	670	972	356	143	1102	241	751	751
852	852	973	58	327	1092	30	862	862
628	628	760	183	185	1049	9	1124	1080
1030	1030	502	19	80	502	80	1080	1124
1015	1015	850	316	9	997	213	832	832
1081	1081	1044	243	356	1109	389	1114	1114
1082	1082	1117	10	19	1110	504	997	997
1083	1083	1114	72	243	1111	361	1109	1044
690	690	1107	62	212	1114	143	1110	1057
934	934	1018	327	183	1095	185	1111	1109
977	977	1088	81	215	1088	216	1095	1110
1000	1000	1089	218	30	1089	10	1057	1111
1101	1101	843	80	58	717	19	1088	1094
667	667	575	335	10	1080	356	1089	1095
939	939	615	552	316	1057	243	1094	1088
785	785	1109	578	81	1094	219	1044	1089
856	856	1110	9	269	1093	183	717	1017
857	857	1111	212	13	1017	269	1017	717
858	858	906	269	62	867	13	1000	1040
789	789	751	215	213	732	207	998	1042
1074	1074	684	182	552	733	104	1040	1000
782	782	1113	13	381	1076	58	1042	998
803	803	1116	30	468	1029	31	867	628
804	804	637	381	182	684	468	628	867
516	516	991	468	219	1044	81	1029	1029
519	519	616	146	361	628	316	732	1058
1029	1029	618	219	146	1000	200	733	732
717	717	619	341	72	998	381	760	733
1116	1116	1094	31	216	760	552	1093	760
637	637	1102	393	31	1019	55	1058	1019
991	991	782	213	578	1113	289	1019	516
616	616	803	303	303	1058	303	516	519
618	618	804	14	104	516	62	519	1093
619	619	516	2	2	519	2	684	684
1094	1094	519	7	393	947	182	1076	1077
1102	1102	1029	216	51	972	51	1113	514
843	843	717	237	200	973	146	1077	1113
575	575	1090	51	207	845	578	947	947
615	615	1095	329	341	1117	393	972	972
1109	1109	789	361	7	1040	7	973	973
1110	1110	1074	573	289	1042	193	514	1076
1111	1111	768	200	55	1077	6	845	845
906	906	1049	120	329	1087	72	1117	1117
751	751	732	106	573	615	251	1087	1087
1044	1044	733	384	384	850	329	1051	1051
1117	1117	667	104	331	1051	331	1015	1015
1114	1114	939	331	150	1015	18	615	615
1107	1107	785	150	227	616	203	1066	1066
1018	1018	856	367	6	618	341	1084	1084
845	845	857	429	271	619	227	850	850
972	972	858	142	237	514	202	768	768
973	973	883	271	142	575	259	575	627
760	760	1065	207	18	1066	384	627	575
502	502	690	289	14	768	271	984	984
901	901	934	6	11	1086	573	616	1008
1057	1057	977	564	367	984	322	618	843
1092	1092	1000	4	193	843	14	619	994
1124	1124	1101	227	203	1084	85	843	616
947	947	1079	268	20	901	150	1086	618
1076	1076	1030	11	120	991	142	994	619
832	832	1015	726	106	627	11	991	1036
1108	1108	1081	410	44	683	237	842	880
867	867	1082	18	259	842	20	880	991
1126	1126	1083	55	251	909	44	1008	842
948	948	807	532	726	1063	293	1063	1090
949	949	683	20	410	880	263	1090	1086
1127	1127	998	57	4	637	401	674	1063
805	805	670	368	429	1074	284	909	674
1028	1028	852	588	268	1090	367	1059	1059
918	918	1058	193	74	674	420	1036	1021
1093	1093	628	74	284	994	410	1021	909
862	862	1075	44	202	1116	74	1004	1004
1115	1115	514	38	322	856	726	683	1097
1085	1085	1006	239	85	857	120	901	1116
1106	1106	916	147	532	858	107	1116	1047
1128	1128	1017	203	239	1059	429	1097	856
635	635	909	85	420	903	268	637	857
1129	1129	639	591	38	716	34	1047	858
1120	1120	989	94	368	873	84	856	903
1122	1122	550	259	84	876	4	857	683
758	758	1059	84	401	911	217	858	901
759	759	926	454	147	899	106	903	637
1072	1072	927	284	34	1047	176	1074	1105
1104	1104	1087	322	591	1097	38	716	911
1131	1131	674	401	263	1008	239	911	873
1132	1132	1051	420	293	1021	532	873	876
1056	1056	984	69	176	1075	368	876	999
1091	1091	873	34	107	883	321	1105	716
897	1118	876	452	588	1054	157	899	899
1118	897	1077	70	564	1016	147	999	1112
1099	1099	1031	176	94	785	291	1054	1016
1119	1119	1019	282	57	626	591	1016	1074
1064	1064	1063	251	25	939	25	626	626
1130	1130	1097	415	157	1004	472	883	1054
1121	1121	35	82	543	970	594	970	883
1052	1052	36	543	70	971	543	971	970
1125	1125	37	413	82	999	400	1112	971
1103	1103	880	202	217	1036	245	1075	1053
236	236	917	145	413	979	145	939	1025
247	247	1046	15	145	1105	197	1053	1027
394	394	1055	25	282	225	211	979	939
97	97	988	585	415	1053	413	1078	1075
713	713	342	152	321	934	725	1025	979
53	53	496	107	69	977	82	1027	1078
281	281	1040	467	452	754	127	225	1045
109	109	1042	724	15	803	70	785	225
292	292	799	590	454	804	94	754	754
777	777	226	263	152	989	503	934	969
813	813	994	725	291	670	152	1045	771
762	762	842	293	372	1046	15	969	967
478	478	863	756	725	931	372	967	934
815	815	583	157	585	969	588	670	931
655	655	318	730	756	690	415	931	670
180	180	899	372	724	561	22	771	785
536	536	835	321	245	852	756	561	561
961	961	823	217	590	967	282	989	989
993	993	841	255	730	1078	404	1046	496
249	249	830	27	255	1030	12	977	1046
570	570	225	542	467	841	724	690	690
631	631	740	466	594	782	27	496	977
537	537	1061	12	542	639	452	852	1041
1022	1022	1016	314	472	1025	730	1030	1030
866	866	865	59	12	1027	585	841	852
232	232	531	291	211	771	255	1041	841
814	814	1047	124	27	496	454	639	1022
801	801	716	245	22	988	590	526	1039
739	739	778	594	197	1112	364	803	526
151	151	913	267	400	927	222	804	823
727	727	763	660	503	740	57	1012	933
1025	1025	931	22	404	1012	542	823	1012
1027	1027	964	404	314	900	69	988	639
974	974	966	155	127	526	470	933	988
735	735	1021	211	466	865	698	1022	1037
681	681	970	386	386	916	386	925	609
826	826	971	571	470	925	314	1061	925
951	951	319	358	267	877	246	1039	1061
173	173	738	470	124	310	564	609	1060
797	797	776	112	59	1061	467	900	910
580	580	903	197	571	1031	437	910	900
839	839	530	503	246	823	466	1060	803
653	653	1080	127	254	933	267	877	804
577	577	911	254	358	682	780	310	310
820	820	1033	351	364	1045	254	1037	877
967	967	800	376	155	1060	571	740	740
969	969	526	339	112	609	79	1031	1031
544	544	627	460	698	667	545	865	1024
525	525	771	64	222	734	124	927	865
925	925	682	472	382	910	642	782	734
